3fga,3fga_diff,3fgm,3fgm_diff,3pt%,3pt%_diff,ast,ast_diff,blk,blk_diff,cnu_score,date,day,def,def_diff,fg%,fg%_diff,fga,fga_diff,fgm,fgm_diff,ft%,ft%_diff,fta,fta_diff,ftm,ftm_diff,home,month,off,off_diff,opp_3fga,opp_3fgm,opp_3pt%,opp_ast,opp_blk,opp_def,opp_fg%,opp_fga,opp_fgm,opp_ft%,opp_fta,opp_ftm,opp_off,opp_pf,opp_ppg avg,opp_pts,opp_rb avg,opp_score,opp_stl,opp_t/o,opp_tot,opponent,overtime,pf,pf_diff,ppg avg,pts,ranked,rb avg,season,stl,stl_diff,t/o,t/o_diff,tot,tot_diff,weekday,win,year
18,-5,6,0,0.333,0.072,11,0,6,-2,54,2017-12-30,30,34,7,0.392,0.084,51,-1,20,4,0.571,0.02588,14,3,8,2,1,12,8,4,23,6,0.261,11,8,27,0.308,52,16,0.545,11,6,4,15,65.7,44,34.6,44,6,14,31,JOHNS HOPKINS,0,10,-5,72.3,54,0,42.4,2017-2018,4,-2,17,3,42,11,5,1,2017
29,11,7,3,0.241,0.01892,13,1,8,0,73,2018-01-03,3,31,0,0.417,0.073,72,11,30,9,0.6,0.01416,10,-19,6,-11,1,1,15,-1,18,4,0.222,12,8,31,0.344,61,21,0.586,29,17,16,15,65.5,63,35.7,63,7,16,47,PENN STATE HARRISBURG,0,22,7,72.3,73,0,42.7,2017-2018,8,1,12,-4,46,-1,2,1,2018
16,2,7,2,0.438,0.08105,13,4,3,-3,58,2018-01-06,6,25,7,0.458,0.06104,48,-10,22,-1,0.538,0.00928,13,-4,7,-2,0,1,9,-5,14,5,0.357,9,6,18,0.397,58,23,0.529,17,9,14,13,65.1,60,35.4,60,12,13,32,MARYMOUNT (VA.),0,20,7,71.2,58,0,42.0,2017-2018,9,-3,20,7,34,2,5,0,2018
27,12,12,8,0.444,0.177,21,11,5,2,83,2018-01-10,10,29,6,0.478,0.1389,69,7,33,12,0.417,-0.1831,12,-8,5,-7,0,1,8,-3,15,4,0.267,10,3,23,0.339,62,21,0.6,20,12,11,14,64.6,58,35.3,58,4,15,34,SOUTHERN VIRGINIA UNIVERSITY,0,16,2,72.1,83,0,41.6,2017-2018,11,7,8,-7,37,3,2,1,2018
25,2,8,-1,0.32,-0.07104,17,5,2,0,69,2018-01-13,13,24,-6,0.403,-0.1399,67,21,27,2,0.778,0.00879,9,-17,7,-13,0,1,11,8,23,9,0.391,12,2,30,0.543,46,25,0.769,26,20,3,13,65.5,79,35.1,79,4,18,33,YORK (PA.),0,22,9,71.9,69,0,41.2,2017-2018,9,5,12,-6,35,2,5,0,2018
26,5,10,2,0.385,0.003906,20,11,6,0,76,2018-01-17,17,40,14,0.492,0.19,61,-2,30,11,0.429,-0.238,14,-10,6,-10,1,1,11,3,21,8,0.381,9,6,26,0.302,63,19,0.667,24,16,8,17,65.3,62,35.1,62,9,6,34,MARY WASHINGTON,0,18,1,72.1,76,0,41.8,2017-2018,4,-5,16,10,51,17,2,1,2018
24,11,9,4,0.375,-0.01001,20,8,2,-4,85,2018-01-20,20,25,-1,0.441,-0.05103,68,9,30,1,0.889,-0.00586,18,-1,16,-1,0,1,14,8,13,5,0.385,12,6,26,0.492,59,29,0.895,19,17,6,19,66.2,80,34.9,80,8,11,32,FROSTBURG STATE UNIVERSITY,0,17,-2,72.9,85,0,41.6,2017-2018,3,-5,12,1,39,7,5,1,2018
26,16,9,5,0.346,-0.05396,18,9,3,1,64,2018-01-24,24,22,-3,0.426,0.0349,54,8,23,5,0.9,0.2329,10,-5,9,-1,1,1,7,-1,10,4,0.4,9,2,25,0.391,46,18,0.667,15,10,8,14,65.3,50,34.8,50,4,17,33,ST. MARY'S (MD.),0,13,-1,72.4,64,0,40.9,2017-2018,7,3,10,-7,29,-4,2,1,2018
33,14,13,9,0.394,0.183,21,14,5,4,68,2018-01-27,27,32,7,0.446,0.1912,56,1,25,11,0.357,-0.4849,14,-5,5,-11,0,1,12,1,19,4,0.211,7,1,25,0.255,55,14,0.842,19,16,11,18,64.4,48,34.8,48,5,13,36,WESLEY,0,19,1,72.2,68,0,41.1,2017-2018,4,-1,15,2,44,8,5,1,2018
21,2,11,6,0.524,0.261,16,10,5,0,72,2018-01-31,31,32,11,0.435,0.1492,46,-17,20,2,0.656,0.104,32,3,21,5,0,1,11,-10,19,5,0.263,6,5,21,0.286,63,18,0.552,29,16,21,25,64.0,57,35.2,57,6,7,42,SALISBURY,0,24,-1,72.2,72,0,41.2,2017-2018,3,-3,12,5,43,1,2,1,2018
20,8,5,0,0.25,-0.167,14,1,5,3,66,2018-02-03,3,20,-4,0.434,-0.04688,53,-1,23,-3,0.789,0.00293,19,5,15,4,1,2,9,-1,12,5,0.417,13,2,24,0.481,54,26,0.786,14,11,10,18,64.2,68,35.1,68,2,11,34,MARYMOUNT (VA.),0,13,-5,71.9,66,0,40.6,2017-2018,4,2,8,-3,29,-5,5,0,2018
28,21,12,12,0.429,0.429,16,4,6,3,76,2018-02-07,7,31,5,0.397,-0.01196,58,-8,23,-4,0.692,0.1919,26,10,18,10,1,2,12,0,7,0,0.0,12,3,26,0.409,66,27,0.5,16,8,12,21,64.1,62,35.3,62,8,13,38,SOUTHERN VIRGINIA UNIVERSITY,0,16,-5,72.0,76,0,40.7,2017-2018,7,-1,15,2,43,5,2,1,2018
24,8,8,4,0.333,0.083,7,3,3,0,69,2018-02-10,10,31,6,0.471,0.178,51,-7,24,7,0.5,-0.1821,26,4,13,-2,0,2,10,-3,16,4,0.25,4,3,25,0.293,58,17,0.682,22,15,13,22,63.6,53,35.4,53,6,13,38,PENN STATE HARRISBURG,0,20,-2,71.9,69,0,40.7,2017-2018,6,0,16,3,41,3,5,1,2018
31,14,12,7,0.387,0.093,12,-1,5,1,75,2018-02-14,14,34,5,0.45,0.03003,60,-9,27,-2,0.643,0.10986,14,-1,9,1,0,2,9,-2,17,5,0.294,13,4,29,0.42,69,29,0.533,15,8,11,12,63.9,71,35.6,71,11,11,40,MARY WASHINGTON,0,16,4,72.0,75,0,40.8,2017-2018,5,-6,16,5,43,3,2,1,2018
23,-1,8,3,0.348,0.1399,9,-4,5,3,81,2018-02-17,17,32,6,0.448,0.05493,58,-3,26,2,0.778,0.1348,27,-1,21,3,1,2,10,0,24,5,0.208,13,2,26,0.393,61,24,0.643,28,18,10,25,64.2,71,35.6,71,9,15,36,YORK (PA.),0,25,0,72.4,81,0,40.9,2017-2018,8,-1,16,1,42,6,5,1,2018
21,5,9,3,0.429,0.05396,16,4,4,0,90,2018-02-22,22,32,16,0.571,0.1528,49,-18,28,0,0.893,0.1431,28,12,25,13,1,2,6,-3,16,6,0.375,12,4,16,0.418,67,28,0.75,16,12,9,23,64.6,74,35.2,74,9,8,25,MARY WASHINGTON,0,15,-8,73.1,90,0,40.8,2017-2018,4,-5,18,10,38,13,3,1,2018
